ALT,P,T,H2O,CO2,O3,CO,N2O,CH4,O2,BRD,NO,SO2_HI,NO2_HI,NH3,HNO3_HI,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2_HI,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN_HI,CF4_HI,C4H2,HC3N,H2,CS,SO3,BRO,CLONO2_XS,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3_XS,CF4_XS,CHCLF2,CCLF3,C2CLF5,NO2_XS,PAN,ACET,CH3CN_XS,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2_XS,ISOP,CHF3
 4.537E-01, 1.021E+03, 2.877E+02, 1.224E-02, 3.300E-04, 2.363E-08, 1.505E-07, 3.100E-07, 1.700E-06, 2.090E-01, 2.572E+13, 3.000E-10, 3.024E-10, 2.300E-11, 5.000E-10, 4.911E-11, 4.400E-14, 1.000E-14, 1.023E-09, 1.700E-12, 3.000E-12, 1.000E-14, 6.009E-10, 2.523E-09, 7.432E-12, 7.810E-01, 1.705E-10, 7.028E-10, 2.005E-10, 3.119E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.790E-12, 7.790E-13,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 1.057E-16, 5.652E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 5.846E-14, 4.711E-10, 1.000E-10, 2.002E-12, 9.666E-12, 2.002E-12, 2.002E-12, 3.859E-12, 1.121E-11, 1.078E-11,nan,nan,nan,nan,nan, 3.024E-10, 1.077E-10, 2.144E-11
 5.439E-01, 1.000E+03, 2.867E+02, 1.166E-02, 3.300E-04, 2.458E-08, 1.496E-07, 3.100E-07, 1.700E-06, 2.090E-01, 2.528E+13, 3.000E-10, 2.977E-10, 2.300E-11, 5.000E-10, 5.084E-11, 4.400E-14, 1.000E-14, 9.780E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.991E-10, 2.283E-09, 7.954E-12, 7.810E-01, 1.696E-10, 6.974E-10, 1.996E-10, 2.888E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.687E-12, 9.856E-13,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 1.553E-16, 5.820E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 7.302E-14, 4.826E-10, 1.000E-10, 1.999E-12, 9.652E-12, 1.999E-12, 1.999E-12, 3.850E-12, 1.119E-11, 1.076E-11,nan,nan,nan,nan,nan, 2.977E-10, 9.464E-11, 2.144E-11
 9.451E-01, 9.085E+02, 2.823E+02, 9.057E-03, 3.300E-04, 2.882E-08, 1.455E-07, 3.100E-07, 1.700E-06, 2.090E-01, 2.332E+13, 3.000E-10, 2.769E-10, 2.300E-11, 5.000E-10, 5.855E-11, 4.400E-14, 1.000E-14, 7.766E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.911E-10, 1.216E-09, 1.028E-11, 7.810E-01, 1.655E-10, 6.733E-10, 1.955E-10, 1.861E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 4.225E-12, 1.905E-12,nan, 1.300E-10, 1.400E-10, 2.400E-10, 1.200E-11, 1.900E-11, 3.763E-16, 6.569E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.378E-13, 5.335E-10, 1.000E-10, 1.985E-12, 9.587E-12, 1.985E-12, 1.985E-12, 3.809E-12, 1.112E-11, 1.069E-11,nan,nan,nan,nan,nan, 2.769E-10, 3.646E-11, 2.140E-11
 1.685E+00, 8.254E+02, 2.780E+02, 7.365E-03, 3.300E-04, 3.241E-08, 1.415E-07, 3.100E-07, 1.700E-06, 2.090E-01, 2.151E+13, 3.000E-10, 2.480E-10, 2.300E-11, 4.747E-10, 6.624E-11, 4.400E-14, 1.157E-14, 6.203E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.832E-10, 6.140E-10, 1.170E-11, 7.810E-01, 1.636E-10, 6.515E-10, 1.929E-10, 1.198E-10, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.768E-12, 2.816E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 5.950E-16, 7.309E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 6.355E-13, 5.908E-10, 1.000E-10, 1.973E-12, 9.527E-12, 1.973E-12, 1.973E-12, 3.770E-12, 1.105E-11, 1.062E-11,nan,nan,nan,nan,nan, 2.480E-10, 1.362E-11, 2.137E-11
 2.463E+00, 7.499E+02, 2.738E+02, 5.857E-03, 3.300E-04, 3.614E-08, 1.376E-07, 3.100E-07, 1.700E-06, 2.090E-01, 1.984E+13, 3.000E-10, 2.147E-10, 2.300E-11, 4.246E-10, 7.384E-11, 4.400E-14, 1.573E-14, 4.967E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.754E-10, 3.221E-10, 1.183E-11, 7.810E-01, 1.621E-10, 6.333E-10, 1.906E-10, 8.260E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 3.265E-12, 5.152E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 2.504E-14, 7.868E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.505E-12, 6.642E-10, 1.000E-10, 1.960E-12, 9.467E-12, 1.960E-12, 1.960E-12, 3.740E-12, 1.098E-11, 1.055E-11,nan,nan,nan,nan,nan, 2.147E-10, 4.506E-12, 2.135E-11
 3.223E+00, 6.813E+02, 2.697E+02, 4.499E-03, 3.300E-04, 4.019E-08, 1.341E-07, 3.095E-07, 1.699E-06, 2.090E-01, 1.830E+13, 3.000E-10, 1.802E-10, 2.300E-11, 3.595E-10, 8.124E-11, 4.400E-14, 2.239E-14, 3.991E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.682E-10, 2.076E-10, 1.104E-11, 7.810E-01, 1.608E-10, 6.187E-10, 1.879E-10, 6.368E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 2.736E-12, 8.394E-12,nan, 1.299E-10, 1.399E-10, 2.399E-10, 1.200E-11, 1.899E-11, 6.501E-14, 8.303E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 2.532E-12, 7.449E-10, 1.000E-10, 1.947E-12, 9.405E-12, 1.947E-12, 1.947E-12, 3.719E-12, 1.091E-11, 1.048E-11,nan,nan,nan,nan,nan, 1.802E-10, 1.724E-12, 2.134E-11
 3.965E+00, 6.190E+02, 2.657E+02, 3.431E-03, 3.300E-04, 4.457E-08, 1.313E-07, 3.080E-07, 1.697E-06, 2.090E-01, 1.689E+13, 3.000E-10, 1.476E-10, 2.300E-11, 2.912E-10, 8.836E-11, 4.400E-14, 3.137E-14, 3.226E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.623E-10, 1.431E-10, 9.856E-12, 7.810E-01, 1.600E-10, 6.075E-10, 1.842E-10, 5.129E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.741E-17, 2.220E-12, 1.156E-11,nan, 1.298E-10, 1.398E-10, 2.398E-10, 1.199E-11, 1.898E-11, 1.040E-13, 8.728E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 3.462E-12, 8.190E-10, 1.000E-10, 1.935E-12, 9.345E-12, 1.935E-12, 1.935E-12, 3.708E-12, 1.083E-11, 1.041E-11,nan,nan,nan,nan,nan, 1.476E-10, 1.205E-12, 2.132E-11
 4.715E+00, 5.623E+02, 2.616E+02, 2.549E-03, 3.300E-04, 5.086E-08, 1.306E-07, 3.040E-07, 1.690E-06, 2.090E-01, 1.558E+13, 3.000E-10, 1.260E-10, 2.300E-11, 2.279E-10, 9.500E-11, 4.400E-14, 4.933E-14, 2.618E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.570E-10, 1.114E-10, 8.519E-12, 7.810E-01, 1.600E-10, 6.034E-10, 1.790E-10, 4.297E-11, 2.000E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 3.464E-17, 1.853E-12, 1.737E-11,nan, 1.297E-10, 1.397E-10, 2.398E-10, 1.199E-11, 1.898E-11, 8.722E-13, 9.038E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 4.696E-12, 8.983E-10, 1.000E-10, 1.923E-12, 9.289E-12, 1.923E-12, 1.923E-12, 3.700E-12, 1.077E-11, 1.035E-11,nan,nan,nan,nan,nan, 1.260E-10, 1.159E-12, 2.131E-11
 5.449E+00, 5.109E+02, 2.570E+02, 1.819E-03, 3.300E-04, 5.883E-08, 1.296E-07, 2.971E-07, 1.680E-06, 2.090E-01, 1.440E+13, 3.000E-10, 1.086E-10, 2.300E-11, 1.779E-10, 1.036E-10, 4.400E-14, 7.225E-14, 2.120E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.519E-10, 8.850E-11, 7.296E-12, 7.810E-01, 1.600E-10, 6.011E-10, 1.721E-10, 3.631E-11, 1.955E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 5.231E-17, 1.502E-12, 2.317E-11,nan, 1.297E-10, 1.397E-10, 2.398E-10, 1.199E-11, 1.898E-11, 1.658E-12, 9.335E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 7.735E-12, 9.537E-10, 1.000E-10, 1.911E-12, 9.231E-12, 1.911E-12, 1.911E-12, 3.693E-12, 1.071E-11, 1.029E-11,nan,nan,nan,nan,nan, 1.086E-10, 1.101E-12, 2.131E-11
 6.161E+00, 4.642E+02, 2.520E+02, 1.244E-03, 3.300E-04, 6.753E-08, 1.281E-07, 2.892E-07, 1.668E-06, 2.090E-01, 1.334E+13, 3.000E-10, 9.483E-11, 2.300E-11, 1.384E-10, 1.134E-10, 4.402E-14, 1.017E-13, 1.714E-10, 1.700E-12, 3.000E-12, 1.000E-14, 5.467E-10, 7.214E-11, 6.259E-12, 7.810E-01, 1.600E-10, 6.000E-10, 1.633E-10, 3.127E-11, 1.892E-09, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 1.000E-20, 6.946E-17, 1.196E-12, 2.838E-11,nan, 1.296E-10, 1.396E-10, 2.397E-10, 1.199E-11, 1.897E-11, 2.278E-12, 9.615E-11, 7.000E-11, 9.350E-11, 5.000E-12, 4.000E-12, 2.300E-11, 1.174E-11, 9.891E-10, 1.000E-10, 1.900E-12, 9.174E-12, 1.900E-12, 1.900E-12, 3.688E-12, 1.064E-11, 1.023E-11,nan,nan,nan,nan,nan, 9.483E-11, 1.048E-12, 2.130E-11
